Date,Time,AwayTeam,HomeTeam,AwayOffense,AwayDefense,AwayDiscapline,AwayTeamScore,AwayCenScore,AwayDefScore,AwayGScore,AwayWingScore,AwayPlayerScore,AwaySchedScore,AwayFloStrength,Awaylast3games,Awaylast5games,Awaylast7games,Awaylast10games,AwayPlayedYest,AwayGF,AwayGA,AwayGP,HomeOffense,HomeDefense,HomeDiscapline,HomeTeamScore,HomeCenScore,HomeDefScore,HomeGScore,HomeWingScore,HomePlayerScore,HomeSchedScore,HomeFloStrength,Homelast3games,Homelast5games,Homelast7games,Homelast10games,HomePlayedYest,HomeGF,HomeGA,HomeGP,gameID,ASpread,SpreadAwayOdd,HSpread,SpreadHomeOdd,OU,BookWin,BookSpread,AwayBookOdds,HomeBookOdds,AOdd1,PD1,PD2,OU1,OU2,AH,HH,PD3,HS,AS,Str,PY,BookSpr,FloSpr,SprDiff,Diff,TeamDiff,FloOU,OUDiff,DiffOU,PredPD,FloProb,PredOU
2025-01-08,10:00 PM,FLA,UTA,0.986,0.215,-0.641,0.583,0.387,0.232,0.03,-0.026,0.511,0.608,0.558,0.424,0.363,0.351,0.533,0,133,127,41,-0.476,0.025,-0.024,0.463,0.127,0.132,0.243,-0.06,0.487,0.494,0.447,0.496,0.344,0.311,0.382,0,113,116,39,FLAUTA20250108,-1.5,171,1.5,-209,6,FLA,1.5,-149,134,0.5752895728462605,0.961,0.691,0.961,-0.691,-0.07199999999999995,0.023999999999999966,-0.617,-0.15000000000000002,-0.257,-0.10699999999999998,0,0.47147874799371925,0.30025,-0.17122874799371923,0,0.11100000000000004,6.269395,0.2693950000000003,2,0.3147307168648068,0.5562796019028841,6.177378318309381
2025-01-08,7:30 PM,COL,CHI,0.978,0.353,-0.366,0.599,0.533,0.549,1.085,1.175,0.867,0.566,0.74,0.586,0.75,0.78,0.783,0,139,130,41,-1.784,-1.222,-1,0.24,-0.123,-0.237,0.047,-0.275,0.352,0.246,0.194,0.191,0.106,0.086,0.227,0,101,137,40,COLCHI20250108,-1.5,102,1.5,-122,6.5,COL,1.5,-218,196,0.6646341441125074,2.2,2.137,2.2,-2.137,0.268,0.11199999999999999,0.634,-0.14,0.21400000000000008,0.3540000000000001,0,1.0742865703270876,0.678752,-0.3955345703270876,1,0.546,6.274435,-0.22556499999999957,1,1.3158828167234373,0.7201530625516165,7.210888547499352
2025-01-08,7:30 PM,VAN,WSH,-0.811,-0.105,-0.358,0.42,-0.136,-0.144,-0.261,0.48,0.421,0.436,0.384,0.336,0.31,0.316,0.336,0,119,125,39,1.078,0.96,-0.972,0.644,0.647,0.771,0.533,0.237,0.716,0.802,0.701,0.528,0.508,0.485,0.573,0,148,106,40,VANWSH20250108,1.5,-166,-1.5,139,5.5,WSH,1.5,163,-181,0.38022813688212925,-1.771,-1.183,-1.771,1.183,0.0010000000000000009,0.07199999999999995,0.614,-0.29400000000000004,-0.12,0.17400000000000004,0,-0.8446007604562742,-1.081942,-0.23734123954372577,1,-0.31699999999999995,5.936245,0.43624500000000044,2,-1.109604703161918,0.31065735505887726,6.050016064389681
2025-01-07,10:00 PM,CGY,ANA,-0.496,-0.337,0.958,0.452,-0.193,-0.261,0.198,0.034,0.393,0.398,0.4,0.332,0.365,0.387,0.359,0,102,119,39,-0.998,-0.988,1.538,0.372,-0.184,-0.13,0.85,-0.439,0.437,0.393,0.408,0.678,0.763,0.627,0.611,0,99,117,39,CGYANA20250107,-1.5,180,1.5,-222,6,CGY,1.5,-140,126,0.559999997536,0.492,0.661,0.492,-0.661,-0.059,0.065,-0.5800000000000001,0.37,-0.01100000000000001,-0.381,0,0.3683199833753923,0.129104,-0.2392159833753923,1,-0.007999999999999952,6.140735,0.14073500000000028,0,0.17541964790584624,0.5314601127651883,6.040147146796991
2025-01-07,10:30 PM,VEG,SJS,1.558,0.828,-0.819,0.674,0.791,0.565,0.452,0.037,0.678,0.752,0.744,0.625,0.729,0.799,0.773,0,138,104,39,-1.099,-1.972,0.661,0.268,-0.075,-0.527,-0.655,-0.472,0.185,0.266,0.183,0.426,0.336,0.32,0.26,0,110,145,42,VEGSJS20250107,-1.5,-104,1.5,-117,6.5,VEG,-1.5,-204,184,0.649681526386466,3.5300000000000002,1.927,3.5300000000000002,-1.927,0.0040000000000000036,-0.08300000000000002,-1.48,0.07,0.04700000000000004,-0.022999999999999965,0,0.9734012585294858,1.3494920000000001,0.37609074147051436,2,0.5609999999999999,6.711585,0.21158500000000036,2,1.5306298658324016,0.7501621783381023,6.4507431152913535
2025-01-07,7:00 PM,EDM,BOS,1.566,1.142,-0.024,0.716,0.673,0.485,0.047,-0.315,0.546,0.63,0.698,0.716,0.571,0.62,0.682,0,128,109,39,-0.957,0.327,1.078,0.471,-0.41,-0.276,-0.288,0.204,0.317,0.373,0.402,0.335,0.47,0.468,0.503,0,111,131,42,EDMBOS20250107,-1.5,166,1.5,-202,6,EDM,1.5,-154,139,0.5833333309027777,1.239,2.0989999999999998,1.239,-2.0989999999999998,-0.16999999999999993,-0.15399999999999997,-1.102,0.09699999999999998,-0.010000000000000009,-0.10699999999999998,0,0.5257499836010413,1.09943,0.5736800163989586,2,0.29599999999999993,6.0050550000000005,0.005055000000000476,0,1.0401415142517882,0.6785576682212924,5.743857604276572
2025-01-07,7:00 PM,OTT,DET,0.185,0.506,-0.294,0.549,-0.03,0.029,-0.645,1.371,0.523,0.52,0.534,0.362,0.332,0.4,0.561,0,112,110,38,-1.572,-0.659,0.526,0.332,-0.301,-0.032,-0.004,0.118,0.393,0.301,0.331,0.697,0.645,0.38,0.441,0,106,126,39,OTTDET20250107,-1.5,211,1.5,-263,5.5,OTT,1.5,-131,118,0.5435684622492726,0.8440000000000001,2.0780000000000003,0.8440000000000001,-2.0780000000000003,-0.026000000000000023,0.061,-0.8200000000000001,0.34400000000000003,-0.12,-0.464,0,0.257456414795842,0.6610640000000003,0.4036075852041583,2,0.203,5.895650000000001,0.3956500000000007,2,0.877422283644287,0.6525500753947409,5.743614720902646
2025-01-07,7:00 PM,DAL,NYR,1.139,1.607,-0.085,0.718,-0.026,0.241,0.706,0.585,0.631,0.652,0.729,0.696,0.681,0.612,0.62,0,122,95,38,0.304,-1.134,-0.066,0.432,-0.313,-0.071,0.328,0.254,0.451,0.396,0.402,0.532,0.392,0.301,0.302,0,113,123,39,DALNYR20250107,-1.5,143,1.5,-171,6.5,DAL,1.5,-177,159,0.6167247363122048,2.2729999999999997,1.303,2.2729999999999997,-1.303,-0.08699999999999997,0.019000000000000017,-0.019000000000000003,-0.0040000000000000036,-0.040000000000000036,-0.03600000000000003,0,0.7510417958984457,0.83149,0.08044820410155429,0,0.32699999999999996,6.499935,-6.500000000020378e-5,0,0.8743194232403978,0.652044562838844,6.367039029959814
2025-01-07,7:00 PM,CBJ,PIT,1.159,-1.243,0.396,0.501,0.012,0.492,-0.894,0.271,0.407,0.451,0.47,0.581,0.555,0.532,0.506,0,135,145,40,0.033,-1.959,-0.897,0.328,0.074,-0.125,-0.355,0.291,0.408,0.323,0.318,0.335,0.332,0.397,0.425,0,124,149,41,CBJPIT20250107,1.5,-198,-1.5,163,6.5,PIT,1.5,141,-157,0.4149377593360996,3.1180000000000003,-1.276,3.1180000000000003,1.276,-0.09400000000000003,0.07999999999999996,1.2930000000000001,0.009000000000000008,0.08100000000000002,0.07200000000000001,0,-0.610414937759336,0.1105560000000002,0.7209709377593362,2,0.15199999999999997,7.3768400000000005,0.8768400000000005,2,-0.06885621588225949,0.4876373728641477,7.2840328261565155
2025-01-07,7:00 PM,CAR,TBL,1.734,1.424,-1.268,0.727,0.412,0.297,-0.243,0.016,0.49,0.677,0.668,0.476,0.583,0.443,0.529,0,135,112,40,1.108,0.466,-1.094,0.604,0.299,0.545,0.658,1.305,0.811,0.769,0.69,0.257,0.324,0.425,0.574,0,137,104,37,CARTBL20250107,-1.5,208,1.5,-258,6,CAR,1.5,-112,101,0.5045045020047074,1.268,0.31599999999999984,1.268,-0.31599999999999984,-0.237,0.20700000000000007,-0.17399999999999993,-0.445,-0.23400000000000004,0.21099999999999997,0,-0.006108124974239182,0.2222079999999999,0.2283161249742391,0,-0.02199999999999991,6.4503,0.45030000000000037,2,0.044522573800186316,0.5079946488169147,6.362629411091896
