AwayTeam,HomeTeam,AwayOffense,AwayDefense,AwayDiscapline,AwayTeamScore,AwayCenScore,AwayDefScore,AwayGScore,AwayWingScore,AwayPlayerScore,AwaySchedScore,AwayFloStrength,Awaylast3games,Awaylast5games,Awaylast7games,Awaylast10games,AwayPlayedYest,HomeOffense,HomeDefense,HomeDiscapline,HomeTeamScore,HomeCenScore,HomeDefScore,HomeGScore,HomeWingScore,HomePlayerScore,HomeSchedScore,HomeFloStrength,Homelast3games,Homelast5games,Homelast7games,Homelast10games,HomePlayedYest,gameID,ASpread,SpreadAwayOdd,HSpread,SpreadHomeOdd,OU,BookWin,BookSpread,predPD,FloWin,predOU,FloSpr,FloOU,SprWinnings,OUWinnings,AwayBookOdds,HomeBookOdds,WLWinnings,AScore,HScore,WTeam,TotGl,PD,MLCorr,ActSpr,ActOU,OUCorr,SprCorr,MLNet,SprNet,OUNet
NYI,EDM,-0.735,-0.724,0.563,0.395,-0.105,-0.192,0.751,-0.462,0.477,0.383,0.402,0.212,0.367,0.464,0.509,0,0.176,-0.598,0.481,0.476,-0.383,-0.016,-1.394,0.542,0.314,0.31,0.377,0.43,0.376,0.272,0.313,0,NYIEDM20231113,1.5,-175,-1.5,145,6.5,EDM,1.5,-0.14999999999999947,EDM,6.763,1.5,Over,0.57,0.91,135,-155,0.65,1,4,EDM,5,3,1,-1.5,Under,0,0,0.65,-1,-1
COL,SEA,0.639,0.222,-0.345,0.562,0.296,-0.016,-0.426,-0.15,0.439,0.508,0.549,0.344,0.846,0.749,0.597,0,-0.753,-0.319,0.312,0.42,-0.151,-0.136,-0.001,-0.27,0.405,0.353,0.38,0.391,0.329,0.34,0.381,0,COLSEA20231113,-1.5,165,1.5,-200,6.5,COL,1.5,1.29,COL,5.983,1.5,Under,0.5,0.91,-155,135,0.65,5,1,COL,6,4,1,-1.5,Under,1,0,0.65,0.91,-1
PHI,CAR,0.14,0.724,1.003,0.589,0.086,0.24,-0.452,-0.154,0.425,0.541,0.549,0.616,0.605,0.638,0.495,0,0.867,0.886,-0.838,0.624,-0.028,0.154,-0.918,-0.028,0.354,0.445,0.51,0.568,0.397,0.302,0.398,0,PHICAR20231115,1.5,-130,-1.5,105,6,CAR,1.5,-0.009999999999999787,CAR,5.396999999999999,1.5,Under,0.77,0.91,95,-115,0.87,3,1,PHI,4,2,0,1.5,Under,1,1,-1,0.91,0.77
SEA,EDM,-0.996,-0.482,0.405,0.39,-0.18,-0.221,-0.152,-0.386,0.339,0.323,0.337,0.352,0.333,0.343,0.382,0,0.232,-0.425,0.022,0.485,-0.077,-0.035,-1.014,0.311,0.355,0.353,0.405,0.591,0.376,0.273,0.314,0,SEAEDM20231115,1.5,-145,-1.5,120,6.5,EDM,1.5,-1.0800000000000005,EDM,6.143000000000001,1.5,Under,0.69,0.91,110,-130,0.77,3,4,EDM,7,1,1,1.5,Over,0,1,0.77,-1,0.69
ANA,COL,-0.35,-0.117,0.004,0.463,0.313,-0.041,0.732,-0.245,0.561,0.566,0.504,0.465,0.42,0.484,0.608,1,0.757,0.533,-0.512,0.593,0.404,0.311,-0.328,-0.043,0.506,0.547,0.595,0.391,0.842,0.747,0.592,0,ANACOL20231115,1.5,110,-1.5,-135,6.5,COL,-1.5,-1.3099999999999996,COL,5.991,1.5,Under,1.1,0.91,-145,125,1.25,2,8,COL,10,6,1,-1.5,Over,0,0,1.25,-1,-1
NYI,VAN,-0.817,-0.745,1.074,0.397,-0.112,-0.14,0.693,-0.515,0.452,0.35,0.394,0.246,0.369,0.463,0.51,0,1.106,1.184,-0.636,0.67,1.127,1.192,1.047,0.393,0.953,0.819,0.83,0.597,0.721,0.803,0.799,0,NYIVAN20231115,1.5,-190,-1.5,155,6,VAN,1.5,-4.759999999999998,VAN,5.85,-1.5,Under,1.55,0.91,145,-165,0.61,3,4,VAN,7,1,1,1.5,Over,0,0,0.61,-1,-1
VEG,MTL,0.293,1.33,-0.988,0.61,0.249,0.555,1.245,-0.399,0.675,0.708,0.679,0.362,0.755,0.744,0.724,0,-0.711,-0.748,0.167,0.387,-0.107,0.079,0.318,-0.487,0.432,0.377,0.383,0.448,0.458,0.413,0.436,0,VEGMTL20231116,-1.5,125,1.5,-150,6,VEG,1.5,2.5600000000000005,VEG,5,-1.5,Under,1.25,0.91,-115,95,0.87,6,5,VEG,11,1,1,1.5,Over,0,0,0.87,-1,-1
NJD,PIT,0.849,-0.791,-1.669,0.471,-0.015,0.172,-0.546,0.126,0.423,0.439,0.453,0.314,0.562,0.517,0.525,0,1.409,0.739,-0.353,0.665,0.848,0.29,0.7,-0.092,0.687,0.587,0.678,0.692,0.463,0.526,0.479,0,NJDPIT20231116,1.5,-175,-1.5,145,6.5,PIT,1.5,-2.6500000000000004,PIT,8.309999999999999,-1.5,Over,1.45,0.91,135,-155,0.65,5,2,NJD,7,3,0,1.5,Over,1,0,-1,0.91,-1
ARI,CBJ,-0.368,-0.341,-1.009,0.423,-0.185,-0.09,0.289,0.594,0.538,0.559,0.479,0.503,0.609,0.522,0.607,0,-0.515,-0.961,-0.082,0.38,-0.273,-0.147,0.062,-0.101,0.397,0.343,0.364,0.412,0.481,0.43,0.412,0,ARICBJ20231116,-1.5,190,1.5,-250,6.5,ARI,1.5,0.75,ARI,6.4190000000000005,1.5,Under,0.4,0.91,-180,160,0.56,3,2,ARI,5,1,1,1.5,Under,1,1,0.56,0.91,0.4
TBL,CHI,0.073,-1.061,-1.521,0.39,0.019,-0.054,-0.228,0.599,0.502,0.372,0.408,0.19,0.424,0.504,0.459,0,-1.393,-1.188,1.011,0.314,0.148,-0.508,0.128,-0.589,0.35,0.379,0.306,0.466,0.49,0.4,0.385,0,TBLCHI20231116,-1.5,125,1.5,-150,6.5,TBL,1.5,0.6200000000000001,TBL,6.929,1.5,Over,0.67,0.91,-115,95,0.87,4,2,TBL,6,2,1,-1.5,Under,0,0,0.87,-1,-1
