Player,Age,Team,Pos,GP,ATOI,G,A,PTS,S,SV,SavePer,FloStrength,Value,yearID,PlusMinus
A.J. Greer,28,FLA,LW,41,9.98,4,5,9,48,NA,NA,-0.917,-1.21,2025,2
Aaron Broten,21,NJD,LW,746,0,186,329,515,1421,NA,NA,0.128,3.07,1982,-72
Aaron Dell,27,SJS,G,119,53.4,NA,NA,NA,NA,2957,0.91,-0.203,-0.9799999999999998,2017,NA
Aaron Downey,27,CHI,RW,179,0,7,6,13,66,NA,NA,-1.16,-6.7,2002,-3
Aaron Ekblad,20,FLA,D,716,22.88,117,250,367,1762,NA,NA,1.203,29.71,2017,87
Aaron Gavey,23,CGY,C,343,0,41,49,90,368,NA,NA,-0.606,-6.71,1998,-52
Aaron Johnson,25,CHI,D,291,9.17,17,45,62,263,NA,NA,-0.035,-0.36000000000000004,2009,1
Aaron Miller,26,COL,D,662,1.49,25,91,116,516,NA,NA,-0.177,-4.06,1998,26
Aaron Ness,29,ARI,D,53,14.13,1,3,4,40,NA,NA,-1.445,-2.63,2020,-12
Aaron Rome,26,VAN,D,217,15.78,6,21,27,186,NA,NA,-1.247,-9.33,2010,-17
Aaron Ward,36,BOS,D,833,4.7,43,106,149,676,NA,NA,-0.473,-13.57,2009,-44
Aatu Räty,22,VAN,C,20,9.52,2,2,4,12,NA,NA,-0.877,-0.57,2025,-2
Ab DeMarco,22,NYR,D,336,0,44,79,123,748,NA,NA,0.407,4.73,1972,28
Ab McDonald,31,PIT,LW,245,0,70,80,150,553,NA,NA,0.475,3.7600000000000002,1968,13
Ace Bailey,21,BOS,LW,560,0,104,168,272,872,NA,NA,-0.261,-4.71,1970,-82
Adam Bennett,21,CHI,D,64,0,3,8,11,72,NA,NA,-0.743,-1.6400000000000001,1993,-10
Adam Boqvist,19,CHI,D,227,17.07,25,66,91,287,NA,NA,0.157,1.23,2020,-45
Adam Burish,28,DAL,C,128,13.55,14,19,33,171,NA,NA,-1.06,-4.37,2011,8
Adam Burt,29,CAR,D,732,0,37,115,152,814,NA,NA,-0.385,-9.73,1998,-51
Adam Clendening,24,NYR,D,81,15.66,4,18,22,98,NA,NA,0.259,0.72,2017,11
Adam Cracknell,30,EDM,RW,52,12.23,5,5,10,68,NA,NA,-1.212,-2.03,2016,-1
Adam Creighton,19,BUF,C,701,0,185,214,399,1221,NA,NA,0.097,2.19,1985,-18
Adam Deadmarsh,22,COL,RW,567,0,184,189,373,1209,NA,NA,1.006,18.38,1998,43
Adam Edstrom,24,NYR,C,40,9.15,2,3,5,32,NA,NA,-1.141,-1.47,2025,-9
Adam Erne,25,DET,LW,185,13.51,25,32,57,234,NA,NA,-0.818,-4.88,2021,-35
Adam Fantilli,19,CBJ,C,90,16.05,21,25,46,193,NA,NA,-0.142,-0.41000000000000003,2024,-32
Adam Foote,37,COL,D,1154,4.09,66,242,308,1128,NA,NA,0.24,9.57,2009,99
Adam Fox,21,NYR,D,397,23.13,54,285,339,746,NA,NA,2.135,29.22,2020,109
Adam Gaudette,23,VAN,C,97,11.83,25,25,50,123,NA,NA,0.294,0.9199999999999999,2020,-2
Adam Ginning,24,PHI,D,9,14.15,1,0,1,6,NA,NA,-0.586,-0.18,2024,0
Adam Graves,29,NYR,LW,1143,0,329,286,615,2846,NA,NA,0.432,15.940000000000001,1998,-23
Adam Hall,30,TBL,RW,387,3.15,56,63,119,689,NA,NA,-0.508,-6.34,2011,-39
Adam Henrique,26,NJD,C,951,17.58,268,274,542,1757,NA,NA,0.439,13.46,2017,-11
Adam Klapka,24,CGY,F,6,8.48,0,0,0,7,NA,NA,0,0,2025,1
Adam Larsson,24,EDM,D,889,21.31,47,174,221,1127,NA,NA,0.101,3.11,2017,29
Adam Lowry,23,WPG,C,744,15.14,115,148,263,1041,NA,NA,-0.651,-15.61,2017,47
Adam Mair,21,LAK,LW,326,0,17,42,59,310,NA,NA,-0.99,-10.41,2001,-9
Adam McQuaid,30,BOS,D,493,16.47,15,57,72,393,NA,NA,-0.334,-5.68,2017,67
Adam Oates,35,WSH,C,1337,0,341,1079,1420,2392,NA,NA,0.942,40.61,1998,33
Adam Pardy,24,CGY,D,338,15.31,4,48,52,247,NA,NA,-0.571,-6.6499999999999995,2009,8
Adam Pelech,22,NYI,D,520,20.01,26,121,147,711,NA,NA,0.234,4.2,2017,74
Adam Wilsby,24,NSH,D,15,18.72,1,2,3,22,NA,NA,0.381,0.2,2025,3
Adin Hill,22,ARI,G,157,55.06,NA,NA,NA,NA,3822,0.91,0.393,2.94,2019,NA
Adrian Aucoin,35,CGY,D,1107,7.91,120,278,398,2087,NA,NA,0.571,21.8,2009,45
Adrian Kempe,20,LAK,LW,587,16.68,178,187,365,1390,NA,NA,0.37,7.02,2017,22
Adrien Plavsic,20,STL,D,201,0,15,54,69,242,NA,NA,0.163,1.1199999999999999,1990,13
Aki Berg,20,LAK,D,606,0,15,70,85,518,NA,NA,-0.479,-10.01,1998,-12
Akil Thomas,25,LAK,C,16,10.4,1,2,3,18,NA,NA,-1.026,-0.53,2025,-1
Akira Schmid,22,NJD,G,37,49.06,NA,NA,NA,NA,785,0.91,0.345,0.44000000000000006,2023,NA
Al Arbour,35,STL,D,231,0,2,21,23,97,NA,NA,-0.629,-5.01,1968,27
Al Cameron,20,DET,D,273,0,11,41,52,367,NA,NA,-0.885,-8.33,1976,-108
Al Conroy,26,PHI,C,114,0,9,14,23,89,NA,NA,-0.961,-3.53,1992,-12
Al Hamilton,22,NYR,D,251,0,10,78,88,274,NA,NA,-0.055,-0.47000000000000014,1969,-42
Al Hangsleben,26,WSH,D,185,0,21,48,69,248,NA,NA,0.375,2.39,1980,5
Al Hill,23,PHI,LW,202,0,38,49,87,251,NA,NA,-0.485,-3.16,1979,25
Al Iafrate,31,SJS,D,799,0,152,311,463,1718,NA,NA,0.719,19.8,1998,-72
Al Jensen,23,WSH,G,178,55.56,NA,NA,NA,NA,4075,0.88,0.451,3.11,1982,NA
Al Karlander,23,DET,C,212,0,36,56,92,242,NA,NA,-0.398,-2.7199999999999998,1970,28
Al MacAdam,22,CLE,RW,859,0,240,351,591,1543,NA,NA,0.357,9.91,1975,-42
Al MacInnis,34,STL,D,1411,0,340,932,1272,5146,NA,NA,2.095,101.93,1998,372
Al MacNeil,32,PIT,D,74,0,2,10,12,75,NA,NA,0.059,0.15,1968,-5
Al McDonough,21,PIT,RW,231,0,71,87,158,694,NA,NA,0.456,3.39,1972,1
Al McLeod,24,DET,D,26,0,2,2,4,23,NA,NA,-0.417,-0.37,1974,-7
Al Montoya,31,MTL,G,156,54.87,NA,NA,NA,NA,3751,0.91,-0.358,-2.23,2017,NA
Al Secord,20,BOS,LW,766,0,273,223,496,1627,NA,NA,0.502,12.41,1979,7
Al Sims,20,BOS,D,466,0,48,115,163,781,NA,NA,0.43,6.91,1974,121
