Player,Age,Tm,Pos,GP,TOI,G,A,+/-,S,PIM,BLK,HIT,PtScore,DefScore,ShotScore,FloStrength,Value,SV,SA,yearID
A.J. Greer,27,CGY,W,59,521,6,6,-7,57,35,24,100,-0.84,0.65,-0.6,-0.801,-1.52,0,0,2024
Adam Beckman,22,MIN,W,11,103,0,2,-2,10,12,3,13,-1.14,0.53,-0.97,-1.126,-0.4,0,0,2024
Adam Edstrom,23,NYR,C,11,93,2,0,2,7,2,2,30,-0.71,1.87,-0.65,-0.718,-0.25,0,0,2024
Adam Erne,28,EDM,W,24,188,1,1,0,13,9,5,68,-1.28,1.32,-0.92,-1.22,-0.94,0,0,2024
Adam Fantilli,19,CBJ,C,49,770,12,15,-21,115,16,25,63,0.25,-1.7,-0.31,0.106,0.17,0,0,2024
Adam Henrique,33,EDM,C,82,1382,24,27,9,140,37,78,99,0.51,-0.32,1.1,0.685,1.81,0,0,2024
Adam Lowry,30,WPG,W,81,1304,12,23,17,119,57,65,181,-0.17,0.53,-0.27,-0.202,-0.53,0,0,2024
Adam Ružička,24,ARI,C,42,421,3,6,-9,35,12,16,11,-0.89,0.17,-0.81,-0.892,-1.21,0,0,2024
Adrian Kempe,27,LAK,W,77,1458,28,47,13,246,72,32,112,1.67,-1.02,0.87,1.504,3.74,0,0,2024
Aleksander Barkov,28,FLA,C,73,1433,23,57,33,193,24,50,104,1.62,-0.14,0.42,1.347,3.17,0,0,2024
Alex Barré-Boulet,26,TBL,W,36,403,6,3,-9,46,10,8,26,-0.57,-0.16,-0.52,-0.571,-0.66,0,0,2024
Alex DeBrincat,26,DET,W,82,1467,27,40,1,237,34,35,66,1.2,-0.61,0.81,1.133,3,0,0,2024
Alex Iafallo,30,WPG,C,82,1256,11,16,14,120,6,67,43,-0.49,0.58,-0.44,-0.491,-1.3,0,0,2024
Alex Killorn,34,ANA,C,63,1180,18,18,-15,145,54,25,72,0.39,-0.62,0.17,0.34,0.69,0,0,2024
Alex Laferriere,22,LAK,W,81,1071,12,11,-14,147,46,27,113,-0.53,-0.47,-0.4,-0.512,-1.34,0,0,2024
Alex Newhook,23,MTL,C,55,931,15,19,-11,85,18,31,36,0.46,-0.98,0.37,0.451,0.8,0,0,2024
Alex Ovechkin,38,WSH,W,79,1518,31,34,-22,272,20,27,162,1.37,-2.45,1.07,1.331,3.39,0,0,2024
Alex Tuch,27,BUF,W,75,1463,22,37,9,192,54,82,72,1.04,-0.61,0.49,0.925,2.24,0,0,2024
Alex Turcotte,22,LAK,C,20,186,1,3,5,14,6,10,7,-0.97,1.98,-0.9,-0.977,-0.63,0,0,2024
Alexander Barabanov,29,SJS,W,46,730,4,9,-24,67,12,15,27,-0.68,-0.23,-0.83,-0.742,-1.1,0,0,2024
Alexander Holtz,22,NJD,W,82,954,16,12,-15,122,14,17,44,-0.28,-0.05,0.25,-0.146,-0.39,0,0,2024
Alexander Kerfoot,29,ARI,C,82,1430,13,32,-15,103,26,76,73,0.05,-0.6,-0.12,0.007,0.02,0,0,2024
Alexander Nylander,25,PIT,W,28,455,11,4,-1,72,6,12,12,0.67,-1.04,0,0.515,0.46,0,0,2024
Alexander Wennberg,29,NYR,C,79,1421,10,20,0,90,14,75,46,-0.4,0.46,-0.38,-0.404,-1.03,0,0,2024
Alexandre Texier,24,CBJ,C,78,1184,12,18,-5,109,38,36,57,-0.32,0.65,-0.28,-0.322,-0.81,0,0,2024
Alexey Toropchenko,24,STL,W,82,1027,14,7,-3,114,30,55,165,-0.54,0.74,0.03,-0.408,-1.08,0,0,2024
Alexis Lafrenière,22,NYR,W,82,1416,28,29,2,217,40,21,73,0.94,-1.04,1.12,1.012,2.68,0,0,2024
Aliaksei Protas,23,WSH,C,78,1072,6,23,-3,113,8,49,34,-0.53,0.95,-0.78,-0.607,-1.53,0,0,2024
Anders Lee,33,NYI,W,81,1261,20,17,2,185,68,54,176,0.13,0.12,0.28,0.173,0.45,0,0,2024
Andreas Athanasiou,29,CHI,C,28,367,2,7,-7,44,7,21,11,-0.65,0.6,-0.89,-0.731,-0.66,0,0,2024
Andrei Kuzmenko,27,CGY,W,72,1072,22,24,-9,121,12,17,14,0.71,-0.82,1.34,0.902,2.09,0,0,2024
Andrei Svechnikov,23,CAR,W,59,1002,19,33,13,144,58,22,142,1.34,-0.55,0.48,1.151,2.19,0,0,2024
Andrew Cogliano,36,COL,W,75,796,6,13,11,61,16,40,33,-0.77,1.3,-0.63,-0.755,-1.83,0,0,2024
Andrew Copp,29,DET,C,79,1286,13,20,-2,109,26,51,33,-0.23,0.6,-0.17,-0.217,-0.55,0,0,2024
Andrew Mangiapane,27,CGY,W,75,1200,14,26,7,122,47,33,89,0.17,0.67,-0.04,0.117,0.28,0,0,2024
André Burakovsky,28,SEA,W,49,714,7,9,-15,92,14,14,13,-0.44,-0.77,-0.66,-0.512,-0.81,0,0,2024
Angus Crookshank,24,OTT,W,13,131,2,1,-3,20,4,8,20,-0.65,-0,-0.85,-0.72,-0.3,0,0,2024
Anthony Beauvillier,26,NSH,W,60,815,5,12,-8,105,8,35,53,-0.69,-0.01,-0.83,-0.747,-1.45,0,0,2024
Anthony Cirelli,26,TBL,C,79,1463,20,25,2,129,38,75,64,0.31,0.14,0.6,0.395,1.01,0,0,2024
Anthony Duclair,28,TBL,W,73,1151,24,18,-8,129,34,35,49,0.62,-0.51,1.61,0.899,2.12,0,0,2024
Anthony Mantha,29,VEG,W,74,1053,23,21,11,113,25,31,55,0.62,0.3,1.74,0.934,2.23,0,0,2024
