Team,yearID,GP,W,L,OTL/T,PTS,WinPct,Offense,Defense,Discapline,GS,GA,SHO,Pen,TeamScore,PlayerScore,FloStrength,SchedFS,SCChamp
MTL,1968,74,42,22,10,94,0.635,0.624,1.09,0.972,236,167,10,205,0.633,0.619,0.672,0.703,1
NYR,1968,74,39,23,12,90,0.608,0.938,0.702,0.579,226,183,9,223,0.621,0.61,0.622,0.636,0
BOS,1968,74,37,27,10,84,0.568,1.312,-0.455,0.285,259,216,4,288,0.569,0.657,0.59,0.638,0
CHI,1968,74,32,26,16,80,0.541,-0.041,-0.499,-0.376,212,222,6,218,0.49,0.581,0.505,0.538,0
TOR,1968,74,33,31,10,76,0.514,0.565,1.508,0.512,209,176,9,230,0.647,0.623,0.585,0.61,0
PHI,1968,74,31,32,11,73,0.493,-1.565,1.262,-1.314,173,179,8,290,0.502,0.486,0.473,0.49,0
LAK,1968,74,31,33,10,72,0.486,-0.009,-0.917,-1.691,200,224,4,274,0.45,0.449,0.437,0.456,0
STL,1968,74,27,31,16,70,0.473,-0.433,0.426,0.241,177,191,6,245,0.532,0.393,0.476,0.48,0
DAL,1968,74,27,32,15,69,0.466,-0.541,-0.611,2.005,191,226,6,216,0.492,0.473,0.426,0.427,0
PIT,1968,74,27,34,13,67,0.453,-0.095,-0.305,-0.557,195,216,7,195,0.496,0.475,0.44,0.458,0
DET,1968,74,27,35,12,66,0.446,1.116,-1.836,-0.178,245,257,1,270,0.475,0.531,0.459,0.514,0
CLE,1968,74,15,42,17,47,0.318,-1.872,-0.365,-0.478,153,219,5,259,0.405,0.432,0.316,0.362,0
MTL,1969,76,46,19,11,103,0.678,1.294,0.573,0.15,271,202,9,233,0.625,0.625,0.631,0.649,1
BOS,1969,76,42,18,16,100,0.658,1.326,0.096,1.689,303,221,5,351,0.621,0.678,0.633,0.674,0
NYR,1969,76,41,26,9,91,0.599,1.207,0.691,1.196,231,196,7,223,0.642,0.534,0.59,0.589,0
STL,1969,76,37,25,14,88,0.579,-1.006,2.321,-0.845,204,157,13,242,0.596,0.501,0.576,0.594,0
TOR,1969,76,35,26,15,85,0.559,0.151,0.353,0.153,234,217,5,294,0.556,0.548,0.541,0.562,0
DET,1969,76,33,31,12,78,0.513,0.279,0.023,-0.764,239,221,4,298,0.531,0.579,0.516,0.555,0
CHI,1969,76,34,33,9,77,0.507,0.993,-0.462,0.459,280,246,5,274,0.556,0.63,0.535,0.59,0
CLE,1969,76,29,36,11,69,0.454,-0.644,-0.917,-0.794,219,251,4,226,0.431,0.511,0.435,0.472,0
PHI,1969,76,20,35,21,61,0.401,-1.335,0.427,-0.027,174,225,2,286,0.483,0.446,0.42,0.432,0
LAK,1969,76,24,42,10,58,0.382,-0.566,-1.204,-2.012,185,260,4,254,0.402,0.406,0.379,0.402,0
DAL,1969,76,18,43,15,51,0.336,-0.686,-1.248,0.684,189,270,1,249,0.43,0.435,0.364,0.384,0
PIT,1969,76,20,45,11,51,0.336,-1.013,-0.653,0.112,189,252,2,231,0.44,0.436,0.379,0.409,0
BOS,1970,76,40,17,19,99,0.651,1.917,0.159,1.143,277,216,7,360,0.646,0.624,0.604,0.618,1
CHI,1970,76,45,22,9,99,0.651,0.254,1.634,1.183,250,170,15,247,0.648,0.612,0.622,0.656,0
DET,1970,76,40,21,15,95,0.625,0.564,0.62,0.358,246,199,2,300,0.594,0.593,0.58,0.605,0
MTL,1970,76,38,22,16,92,0.605,0.598,0.519,0.302,244,201,4,263,0.59,0.588,0.572,0.601,0
NYR,1970,76,38,22,16,92,0.605,1.009,0.591,0.371,246,189,7,269,0.615,0.617,0.585,0.619,0
STL,1970,76,37,27,12,86,0.566,-0.17,1.03,1.637,224,179,10,265,0.599,0.556,0.561,0.589,0
TOR,1970,76,29,34,13,71,0.467,0.395,-0.366,-0.285,222,242,6,269,0.521,0.52,0.479,0.5,0
PIT,1970,76,26,38,12,64,0.421,-0.759,-0.941,-1.21,182,238,5,282,0.418,0.407,0.42,0.438,0
DAL,1970,76,19,35,22,60,0.395,-0.374,-0.797,-0.486,224,257,4,284,0.455,0.532,0.429,0.466,0
CLE,1970,76,22,40,14,58,0.382,-1.72,-0.502,-0.883,169,243,2,258,0.4,0.419,0.394,0.413,0
PHI,1970,76,17,35,24,58,0.382,-0.513,0.131,-0.602,197,225,4,311,0.5,0.487,0.44,0.468,0
LAK,1970,76,14,52,10,38,0.25,-1.201,-2.078,-1.528,168,290,3,297,0.327,0.375,0.312,0.339,0
BOS,1971,78,57,14,7,121,0.776,2.888,0.79,1.728,399,207,7,336,0.739,0.775,0.701,0.75,0
