Player,Age,Team,GPPred,FSPred,ValPred,Conf,Div
Sam Carrick,32,NYR,64,-0.571,-1.35,East,Metro
Colin Blackwell,31,DAL,50,-0.61,-1.13,West,Central
Thomas Harley,23,DAL,75,0.983,2.73,West,Central
Logan Stankoven,21,DAL,48,-0.215,-0.38,West,Central
Jack Drury,24,CAR,67,-0.385,-0.96,East,Metro
Uvis Balinskis,28,FLA,43,-0.801,-1.28,East,Atlantic
Trent Frederic,26,BOS,71,-0.034,-0.09,East,Atlantic
Morgan Geekie,26,BOS,68,-0.058,-0.15,East,Atlantic
Mason Lohrei,24,BOS,53,-0.296,-0.58,East,Atlantic
Matthew Poitras,20,BOS,51,-0.377,-0.71,East,Atlantic
Danton Heinen,29,VAN,66,-0.112,-0.27,West,Metropolitan
Justus Annunen,24,COL,46,0.793,1.35,West,Central
Oliver Kylington,27,COL,49,-0.33,-0.6,West,Central
Sam Malinski,26,COL,47,0.199,0.35,West,Central
Connor Brown,31,EDM,61,-0.777,-1.76,West,Metropolitan
Ty Emberson,24,EDM,51,0.143,0.27,West,Metropolitan
Corey Perry,39,EDM,52,-0.437,-0.84,West,Metropolitan
Calvin Pickard,32,EDM,43,-0.026,-0.04,West,Metropolitan
Matthew Knies,22,TOR,72,-0.094,-0.25,East,Atlantic
Max Pacioretty,36,TOR,50,-0.599,-1.11,East,Atlantic
Michael McCarron,29,NSH,63,-0.396,-0.92,West,Central
Alex Laferriere,23,LAK,71,-0.365,-0.96,West,Metropolitan
Jordan Spence,23,LAK,68,0.123,0.31,West,Metropolitan
Jonas Johansson,29,TBL,43,-0.738,-1.18,East,Atlantic
Brendan Brisson,23,VEG,42,-0.463,-0.72,West,Metropolitan
Joel Hofer,24,STL,51,0.288,0.54,West,Central
Matthew Kessel,24,STL,53,-0.304,-0.6,West,Central
Scott Perunovich,26,STL,59,-0.053,-0.12,West,Central
Alexandre Texier,25,STL,69,-0.276,-0.71,West,Central
Connor McMichael,24,WSH,71,-0.094,-0.25,East,Metro
Aliaksei Protas,24,WSH,69,-0.409,-1.05,East,Metro
Drew O'Connor,26,PIT,69,-0.182,-0.47,East,Metro
Ryan Shea,27,PIT,46,-0.718,-1.22,East,Metro
Jack St. Ivany,25,PIT,39,-0.81,-1.17,East,Metro
Declan Chisholm,25,MIN,47,-0.746,-1.3,West,Central
Brock Faber,22,MIN,75,0.559,1.55,West,Central
Marat Khusnutdinov,22,MIN,42,-0.771,-1.2,West,Central
Bobby Brink,23,PHI,61,-0.264,-0.6,East,Metro
Sean Couturier,32,PHI,64,-0.317,-0.75,East,Metro
Jamie Drysdale,22,PHI,49,-0.948,-1.72,East,Metro
Tyson Foerster,23,PHI,70,-0.024,-0.06,East,Metro
Garnet Hathaway,33,PHI,65,-0.668,-1.61,East,Metro
Ryan Poehling,26,PHI,68,-0.337,-0.85,East,Metro
Zach Benson,19,BUF,69,-0.191,-0.49,East,Atlantic
Dennis Gilbert,28,BUF,48,-0.558,-0.99,East,Atlantic
Devon Levi,23,BUF,46,-0.281,-0.48,East,Atlantic
Beck Malenstyn,26,BUF,69,-0.547,-1.4,East,Atlantic
Curtis Lazar,29,NJD,63,-0.48,-1.12,East,Metro
Simon Nemec,20,NJD,65,0.069,0.17,East,Metro
Joey Daccord,28,SEA,58,0.409,0.88,West,Metropolitan
Ryker Evans,23,SEA,51,-0.411,-0.78,West,Metropolitan
Joel Hanley,33,CGY,49,-0.44,-0.8,West,Metropolitan
Martin Pospisil,25,CGY,62,-0.415,-0.95,West,Metropolitan
Dustin Wolf,23,CGY,43,-0.564,-0.9,West,Metropolitan
Connor Zary,23,CGY,64,-0.051,-0.12,West,Metropolitan
Nick Cousins,31,OTT,61,-0.65,-1.47,East,Atlantic
Tyler Kleven,23,OTT,39,-0.687,-0.99,East,Atlantic
Logan Cooley,20,UTA,74,0.114,0.31,West,Central
Josh Doan,22,UTA,44,0.19,0.31,West,Central
Kevin Stenlund,28,UTA,68,-0.491,-1.24,West,Central
Cayden Primeau,25,MTL,47,0.105,0.18,East,Atlantic
Jayden Struble,23,MTL,61,-0.237,-0.54,East,Atlantic
Adam Fantilli,20,CBJ,59,-0.098,-0.21,East,Metro
Mikael Pyyhtia,23,CBJ,41,-1.009,-1.53,East,Metro
Leo Carlsson,20,ANA,62,-0.115,-0.26,West,Metropolitan
Jackson LaCombe,24,ANA,65,-0.543,-1.31,West,Metropolitan
Brett Leason,25,ANA,64,-0.366,-0.87,West,Metropolitan
Pavel Mintyukov,21,ANA,65,-0.094,-0.23,West,Metropolitan
Olen Zellweger,21,ANA,49,-0.266,-0.48,West,Metropolitan
Joey Anderson,26,CHI,57,-0.583,-1.23,West,Central
Connor Bedard,19,CHI,70,0.452,1.17,West,Central
Ryan Donato,28,CHI,67,-0.338,-0.84,West,Central
Pat Maroon,36,CHI,51,-0.752,-1.42,West,Central
Alex Vlasic,23,CHI,70,-0.006,-0.02,West,Central
William Eklund,22,SJS,72,0.044,0.12,West,Metropolitan
Henry Thrun,23,SJS,58,-0.395,-0.85,West,Metropolitan
Filip Chytil,25,NYR,48,-0.173,-0.31,East,Metro
Adam Fox,26,NYR,74,1.902,5.21,East,Metro
Kaapo Kakko,23,NYR,65,-0.146,-0.35,East,Metro
Chris Kreider,33,NYR,71,0.902,2.37,East,Metro
K'Andre Miller,25,NYR,72,0.565,1.51,East,Metro
Artemi Panarin,33,NYR,75,1.71,4.75,East,Metro
Jonathan Quick,39,NYR,45,-0.551,-0.92,East,Metro
Chad Ruhwedel,34,NYR,51,-1.138,-2.15,East,Metro
Braden Schneider,23,NYR,72,-0.055,-0.15,East,Metro
Igor Shesterkin,29,NYR,60,0.58,1.29,East,Metro
Reilly Smith,33,NYR,65,-0.14,-0.34,East,Metro
Vincent Trocheck,31,NYR,71,0.341,0.9,East,Metro
Jacob Trouba,30,NYR,65,-0.167,-0.4,East,Metro
Mika Zibanejad,31,NYR,71,0.767,2.02,East,Metro
Jamie Benn,35,DAL,69,0.4,1.02,West,Central
Evgenii Dadonov,35,DAL,57,-0.589,-1.24,West,Central
Casey DeSmith,33,DAL,45,-0.412,-0.69,West,Central
Matt Duchene,34,DAL,67,0.241,0.6,West,Central
Miro Heiskanen,25,DAL,69,0.97,2.48,West,Central
Roope Hintz,28,DAL,71,1.133,2.98,West,Central
Wyatt Johnston,21,DAL,76,0.656,1.85,West,Central
Esa Lindell,30,DAL,70,0.3,0.78,West,Central
Nils Lundkvist,24,DAL,63,0.163,0.38,West,Central
Ilya Lyubushkin,30,DAL,62,-0.854,-1.96,West,Central
Mason Marchment,29,DAL,69,-0.041,-0.1,West,Central
Jake Oettinger,26,DAL,61,0.5,1.13,West,Central
Jason Robertson,25,DAL,74,1.452,3.98,West,Central
Tyler Seguin,33,DAL,65,0.194,0.47,West,Central
Brendan Smith,35,DAL,59,-0.603,-1.32,West,Central
