Team,Probability,Conf,Div,Date
EDM,0.0652,West,Metropolitan,2024-10-17
COL,0.0586,West,Central,2024-10-17
NYR,0.0562,East,Metro,2024-10-17
VAN,0.0524,West,Metropolitan,2024-10-17
TBL,0.0506,East,Atlantic,2024-10-17
TOR,0.0502,East,Atlantic,2024-10-17
FLA,0.0498,East,Atlantic,2024-10-17
DAL,0.0446,West,Central,2024-10-17
CAR,0.0428,East,Metro,2024-10-17
WPG,0.042,West,Central,2024-10-17
VEG,0.0356,West,Metropolitan,2024-10-17
NSH,0.0342,West,Central,2024-10-17
BUF,0.031,East,Atlantic,2024-10-17
PIT,0.0294,East,Metro,2024-10-17
MIN,0.0292,West,Central,2024-10-17
NJD,0.0278,East,Metro,2024-10-17
SEA,0.0266,West,Metropolitan,2024-10-17
LAK,0.025,West,Metropolitan,2024-10-17
DET,0.0248,East,Atlantic,2024-10-17
NYI,0.0248,East,Metro,2024-10-17
WSH,0.0246,East,Metro,2024-10-17
BOS,0.024,East,Atlantic,2024-10-17
CGY,0.0234,West,Metropolitan,2024-10-17
OTT,0.0232,East,Atlantic,2024-10-17
UTA,0.023,West,Central,2024-10-17
STL,0.0218,West,Central,2024-10-17
PHI,0.017,East,Metro,2024-10-17
MTL,0.0154,East,Atlantic,2024-10-17
CBJ,0.0112,East,Metro,2024-10-17
ANA,0.0088,West,Metropolitan,2024-10-17
CHI,0.004,West,Central,2024-10-17
SJS,0.0028,West,Metropolitan,2024-10-17
CAR,0.0878,East,Metro,2024-12-02
DAL,0.0808,West,Central,2024-12-02
WPG,0.0716,West,Central,2024-12-02
MIN,0.0674,West,Central,2024-12-02
EDM,0.0652,West,Metropolitan,2024-12-02
WSH,0.0644,East,Metro,2024-12-02
LAK,0.0584,West,Metropolitan,2024-12-02
TOR,0.0584,East,Atlantic,2024-12-02
FLA,0.0572,East,Atlantic,2024-12-02
VEG,0.0456,West,Metropolitan,2024-12-02
NJD,0.0454,East,Metro,2024-12-02
TBL,0.0396,East,Atlantic,2024-12-02
VAN,0.0336,West,Metropolitan,2024-12-02
COL,0.028,West,Central,2024-12-02
NYR,0.0276,East,Metro,2024-12-02
CBJ,0.0246,East,Metro,2024-12-02
BUF,0.0194,East,Atlantic,2024-12-02
UTA,0.0186,West,Central,2024-12-02
NYI,0.0184,East,Metro,2024-12-02
OTT,0.0178,East,Atlantic,2024-12-02
CGY,0.0148,West,Metropolitan,2024-12-02
SEA,0.0134,West,Metropolitan,2024-12-02
BOS,0.0132,East,Atlantic,2024-12-02
PHI,0.011,East,Metro,2024-12-02
STL,0.0078,West,Central,2024-12-02
DET,0.0038,East,Atlantic,2024-12-02
NSH,0.0034,West,Central,2024-12-02
ANA,0.0018,West,Metropolitan,2024-12-02
PIT,6e-4,East,Metro,2024-12-02
SJS,4e-4,West,Metropolitan,2024-12-02
CHI,0,West,Central,2024-12-02
MTL,0,East,Atlantic,2024-12-02
WSH,0.083,East,Metro,2024-12-15
EDM,0.08033333333333334,West,Metropolitan,2024-12-15
DAL,0.07466666666666667,West,Central,2024-12-15
NJD,0.073,East,Metro,2024-12-15
CAR,0.07033333333333333,East,Metro,2024-12-15
LAK,0.06966666666666667,West,Metropolitan,2024-12-15
WPG,0.06766666666666667,West,Central,2024-12-15
MIN,0.065,West,Central,2024-12-15
TBL,0.06133333333333333,East,Atlantic,2024-12-15
FLA,0.05733333333333333,East,Atlantic,2024-12-15
VEG,0.048,West,Metropolitan,2024-12-15
TOR,0.04566666666666667,East,Atlantic,2024-12-15
COL,0.027666666666666666,West,Central,2024-12-15
OTT,0.025,East,Atlantic,2024-12-15
UTA,0.021666666666666667,West,Central,2024-12-15
NYR,0.019,East,Metro,2024-12-15
BOS,0.018333333333333333,East,Atlantic,2024-12-15
VAN,0.018,West,Metropolitan,2024-12-15
CBJ,0.015,East,Metro,2024-12-15
NYI,0.013333333333333334,East,Metro,2024-12-15
CGY,0.011333333333333334,West,Metropolitan,2024-12-15
SEA,0.011333333333333334,West,Metropolitan,2024-12-15
PHI,0.01,East,Metro,2024-12-15
BUF,0.006,East,Atlantic,2024-12-15
STL,0.005333333333333333,West,Central,2024-12-15
PIT,0.001,East,Metro,2024-12-15
DET,6.666666666666666e-4,East,Atlantic,2024-12-15
NSH,3.333333333333333e-4,West,Central,2024-12-15
ANA,0,West,Metropolitan,2024-12-15
CHI,0,West,Central,2024-12-15
MTL,0,East,Atlantic,2024-12-15
SJS,0,West,Metropolitan,2024-12-15
EDM,0.08566666666666667,West,Metropolitan,2024-12-27
NJD,0.08566666666666667,East,Metro,2024-12-27
VEG,0.08333333333333333,West,Metropolitan,2024-12-27
CAR,0.08,East,Metro,2024-12-27
WPG,0.07866666666666666,West,Central,2024-12-27
WSH,0.069,East,Metro,2024-12-27
FLA,0.06833333333333333,East,Atlantic,2024-12-27
TBL,0.06733333333333333,East,Atlantic,2024-12-27
DAL,0.064,West,Central,2024-12-27
LAK,0.064,West,Metropolitan,2024-12-27
MIN,0.037333333333333336,West,Central,2024-12-27
TOR,0.036333333333333336,East,Atlantic,2024-12-27
OTT,0.033,East,Atlantic,2024-12-27
COL,0.03266666666666666,West,Central,2024-12-27
BOS,0.024333333333333332,East,Atlantic,2024-12-27
UTA,0.022,West,Central,2024-12-27
VAN,0.016,West,Metropolitan,2024-12-27
CBJ,0.013666666666666667,East,Metro,2024-12-27
CGY,0.012666666666666666,West,Metropolitan,2024-12-27
NYR,0.006333333333333333,East,Metro,2024-12-27
NYI,0.005,East,Metro,2024-12-27
STL,0.004666666666666667,West,Central,2024-12-27
PHI,0.0036666666666666666,East,Metro,2024-12-27
SEA,0.0023333333333333335,West,Metropolitan,2024-12-27
PIT,0.0016666666666666668,East,Metro,2024-12-27
NSH,0.0013333333333333333,West,Central,2024-12-27
BUF,0.001,East,Atlantic,2024-12-27
ANA,0,West,Metropolitan,2024-12-27
CHI,0,West,Central,2024-12-27
DET,0,East,Atlantic,2024-12-27
MTL,0,East,Atlantic,2024-12-27
SJS,0,West,Metropolitan,2024-12-27
